Noble Colbourn,Meahudet,Ortoscopy,North,Soroka
Daniella Newdick,Clalit,Ortoscopy,North,Ziv
Austine Canas,Clalit,Replacment,North,Ziv
Ranna Gile,Meahudet,Ortoscopy,North,Soroka
Ramona Busch,Meahudet,Rebuild,Tel Aviv,Ziv
Lonni Hodgin,Meahudet,Ortoscopy,North,Ziv
Garold Drust,Meahudet,Replacment,Tel Aviv,Soroka
Heindrick Fishenden,Clalit,Rebuild,Tel Aviv,Rambam
Seamus Chevers,Clalit,Replacment,Tel Aviv,Rambam
Hilario Babidge,Meahudet,Ortoscopy,Beer Sheva,Ziv
Rosmunda Ritelli,Macaabi,Replacment,Tel Aviv,Ziv
Ranna Gile,Meahudet,Rebuild,North,Soroka
Daniella Newdick,Clalit,Ortoscopy,North,Shiba
Bianka O'Lagen,Meahudet,Rebuild,Tel Aviv,Rambam
Quentin Hutson,Clalit,Replacment,Tel Aviv,Shiba
Bradly Brimfield,Macaabi,Replacment,Tel Aviv,Rambam
Daniella Newdick,Meahudet,Rebuild,North,Shiba
Evvy Paolillo,Clalit,Replacment,Beer Sheva,Ziv
Stephani Blooman,Macaabi,Ortoscopy,North,Ziv
